Instance Type,PricePerUnit
x2iedn.24xlarge,20.007
x2gd.12xlarge,4.008
r5b.metal,7.152
r6a.16xlarge,3.6288
c6gn.8xlarge,1.3824
c6gd.12xlarge,1.8432
d3en.12xlarge,6.30864
c7i.48xlarge,8.568
c5d.18xlarge,3.456
c6in.8xlarge,1.8144
m7i-flex.xlarge,0.19152
m7i.48xlarge,9.6768
c7a.2xlarge,0.41056
r6in.24xlarge,8.36784
r6idn.8xlarge,3.12624
r7i.large,0.1323
t3a.medium,0.0376
r7a.large,0.15215
r7gd.medium,0.068
r4.large,0.133
inf1.6xlarge,1.18
r5ad.16xlarge,4.192
m5zn.metal,3.9641
d3en.xlarge,0.526
r5dn.4xlarge,1.336
r5b.16xlarge,4.768
r4.2xlarge,0.532
t3.micro,0.0104
g5g.2xlarge,0.556
g5g.metal,2.744
is4gen.large,0.28815
c7i.24xlarge,4.284
r6idn.4xlarge,1.56312
m7a.xlarge,0.23184
g4ad.2xlarge,0.54117
c7i.2xlarge,0.357
t4g.xlarge,0.1344
c5.24xlarge,4.08
r3.2xlarge,0.665
c6gd.16xlarge,2.4576
c7i.xlarge,0.1785
c5d.xlarge,0.192
c5a.24xlarge,3.696
m6id.metal,7.5936
x2iezn.4xlarge,3.336
m7i.8xlarge,1.6128
t2.xlarge,0.1856
i3en.24xlarge,10.848
t4g.nano,0.0042
r5b.2xlarge,0.596
m5.4xlarge,0.768
r6in.xlarge,0.34866
r7a.metal-48xl,14.6064
r6in.8xlarge,2.78928
t4g.medium,0.0336
c7g.12xlarge,1.74
d3.2xlarge,0.999
m5ad.16xlarge,3.296
is4gen.4xlarge,2.3052
c6i.4xlarge,0.68
x1e.4xlarge,3.336
m4.16xlarge,3.2
u-24tb1.112xlarge,218.4
c6gn.large,0.0864
r5dn.16xlarge,5.344
r5d.4xlarge,1.152
d3en.6xlarge,3.154
i3en.3xlarge,1.356
f1.16xlarge,13.2
r7gd.8xlarge,2.1773
im4gn.large,0.1819
x2iedn.4xlarge,3.3345
x2iezn.metal,10.008
g4ad.xlarge,0.37853
r6in.4xlarge,1.39464
m1.xlarge,0.35
m7i.metal-48xl,9.6768
m5dn.4xlarge,1.088
m5n.16xlarge,3.808
i4g.16xlarge,4.94208
t3a.xlarge,0.1504
m5dn.xlarge,0.272
m6id.4xlarge,0.9492
c7a.metal-48xl,9.85344
c7g.medium,0.0363
r7gd.large,0.1361
r6a.metal,10.8864
m6a.48xlarge,8.2944
i4i.16xlarge,5.491
c5.18xlarge,3.06
m6gd.xlarge,0.1808
inf1.2xlarge,0.362
m5ad.4xlarge,0.824
r7iz.16xlarge,5.952
m6idn.16xlarge,5.09184
m6gd.2xlarge,0.3616
x2gd.large,0.167
a1.metal,0.408
trn1n.32xlarge,24.78
g5.2xlarge,1.212
z1d.metal,4.464
r7i.48xlarge,12.7008
m6a.12xlarge,2.0736
m6idn.24xlarge,7.63776
c6i.large,0.085
c6g.large,0.068
c6id.16xlarge,3.2256
inf1.xlarge,0.228
c7gn.xlarge,0.2496
m6id.2xlarge,0.4746
c5n.9xlarge,1.944
r6g.8xlarge,1.6128
